username, created_at, lng, lat, text
RobertPRoehm, Mon Apr 20 00:18:45 +0000 2020, -118.081020, 33.789020, @CollinB414 Yeah, I remember walking my dog Ruby offleash, following her. She ran as I ghosted her closely. Didn't… https://t.co/7YmU9bVzmL 
onepineapple70, Mon Apr 20 00:18:45 +0000 2020, -80.134986, 26.373976, “We build consumer inspired homes and communities to make lives better.” https://t.co/lLzHBQtIdc 
Leslie1776, Mon Apr 20 00:18:45 +0000 2020, -118.411907, 34.020789, @colvinj BRAVO!!Keep the FIRE under the president's BUTT!! 
brianros1, Mon Apr 20 00:18:45 +0000 2020, -77.604684, 41.117936, @leadinglatte @MrJoshPerry I’m closer to 40 than 30 and I’m a millennial. I was finishing college applications righ… https://t.co/XIIFptIAzb 
sissy_dreams5, Mon Apr 20 00:18:45 +0000 2020, -80.476404, 43.430240, Sissy PSA😊😊 Are you locked?#sissy https://t.co/vhGg3intD3 
BrandiHolsinge1, Mon Apr 20 00:18:45 +0000 2020, -121.278605, 38.119674, @RawStory Never actually answered the question just talked in circles and a lot of blah blah blah I’m a 🍆 
mikeburnsmusic, Mon Apr 20 00:18:45 +0000 2020, -89.922029, 35.133521, @MikeCam I totally want to just start the entire season over because I can’t let it go yet.. @danjlevy 
matt_hempel, Mon Apr 20 00:18:46 +0000 2020, -93.606369, 41.576437, @Bashido @sabauce Chicken? 
DeeDub67, Mon Apr 20 00:18:46 +0000 2020, -118.411907, 34.020789, @bobabbott50_bob Thanks appreciate it. 
Pittsburg_CA, Mon Apr 20 00:18:46 +0000 2020, -121.920000, 38.012100, Pittsburg CA Sun Apr 19th PM Forecast: TONIGHT Partly Cloudy Lo 49 MONDAY Mostly Cloudy Hi 65 
Erzylopez, Mon Apr 20 00:18:45 +0000 2020, -97.135638, 32.701850, Si hay una secta Jedi  es facil imaginar que hay sistemas de creencias basadas en formas de vida extraterrestres. https://t.co/SOaXUIeP5p 
BAD__MamaJama, Mon Apr 20 00:18:46 +0000 2020, -91.090800, 30.459100, Tyrese talmbout he know how to spell towelNo the fuck he don’t either 
theeproblem__, Mon Apr 20 00:18:46 +0000 2020, -95.446486, 29.838495, @stilltrilll I knew that’s who you were talking about lol. Allegedly they’re owned by some people in BR, idk how true that is. 
Rikkelle__, Mon Apr 20 00:18:46 +0000 2020, -83.173867, 32.678207, cookies and cream and strawberry neck and neck 
danny_wya, Mon Apr 20 00:18:46 +0000 2020, -91.380189, 31.543237, Dang I forgot to tag @JarquezMango 
NapTheQue, Mon Apr 20 00:18:46 +0000 2020, -83.173867, 32.678207, Easy, when me and my dad got our Hits together. Nothing will ever top that💯 https://t.co/QwsM4A4bAA 
Bella120108, Mon Apr 20 00:18:46 +0000 2020, -119.165389, 34.181956, Como no amarlo 🥰 isn’t he the cutest 😭 snaps from love https://t.co/AFIGaGaJBk 
girlwitaboyname, Mon Apr 20 00:18:46 +0000 2020, -81.526530, 41.523913, @ShizzyHendrix If 3hrs is short then yeah. 
TinxDtl, Mon Apr 20 00:18:46 +0000 2020, -79.616073, 43.555244, #Rocking and #rolling 🙂😍😀🤩 #RocketPunch 🥊 https://t.co/HLvUOZkxX6 
Lex_in_CO, Mon Apr 20 00:18:46 +0000 2020, -105.074908, 40.409374, We need #ResearchNotRibbons 
killeen842, Mon Apr 20 00:18:46 +0000 2020, -100.076888, 31.168893, &lt;strong&gt;Before The World&lt;/strong&gt; https://t.co/BoKW5NSMDt 
Bosslady_1027, Mon Apr 20 00:18:46 +0000 2020, -93.283548, 32.608223, https://t.co/nxChyXmw2j @NSULA 
becacamposs, Mon Apr 20 00:18:46 +0000 2020, -99.454676, 27.532077, andddd it’s time for a nap 
miss_lady_diva, Mon Apr 20 00:18:46 +0000 2020, -90.158017, 32.230987, @LIVtheVIRGO @bmeads17 Right! I'm going to find this!!! 🤤 
ivanvillalv, Mon Apr 20 00:18:46 +0000 2020, -100.155246, 25.923025, Van dos días seguidos que como pizza, no se queja! 🍕 https://t.co/r220GQZp77 
concussionawar3, Mon Apr 20 00:18:46 +0000 2020, -74.188035, 40.001340, @RDGoudie @ScottJKyle1 What was that like ? 
Pomona_CA, Mon Apr 20 00:18:46 +0000 2020, -117.754800, 34.041900, Pomona CA Sun Apr 19th PM Forecast: TONIGHT Mostly Cloudy Lo 50 MONDAY Partly Cloudy Hi 66 
KeithHatton5, Mon Apr 20 00:18:46 +0000 2020, -117.320879, 33.226316, Russia or/and paid for by Trump operatives. 
14KaliRae, Mon Apr 20 00:18:46 +0000 2020, -84.590186, 40.868409, I hate grief. I hate these nights. https://t.co/Zu2DN25Xrc 
travispulliam, Mon Apr 20 00:18:46 +0000 2020, -73.639419, 40.748492, Always thought banana bread was a healthy alternative until I dropped a full stick of butter and cup of sugar in it… https://t.co/nkUaKZhSQS 
cuspofbeauty, Mon Apr 20 00:18:47 +0000 2020, -73.849441, 40.850347, I can't wait for the Wendy Nene fallout. #RHOA 
Pavoooo, Mon Apr 20 00:18:47 +0000 2020, -118.194026, 33.938045, Don’t let him forget this. 
mixedbyillusion, Mon Apr 20 00:18:47 +0000 2020, -80.285189, 26.078170, Being a mixer is difficult. Balancing technical know-how with an artistic point of view. While also managing the ev… https://t.co/EL2AQutErR 
HawksDraftNerd, Mon Apr 20 00:18:47 +0000 2020, -83.173867, 32.678207, Absolutely gorgeous 
RekklezzRyRy, Mon Apr 20 00:18:47 +0000 2020, -95.446486, 29.838495, nah fr 🥰 
DarronDavis18, Mon Apr 20 00:18:47 +0000 2020, -90.131564, 30.473548, Highlight tape coming soon😈😈. Be on the look out👀 30 likes and it comes out tonight!! #ComebackSZN 
thepettychef13, Mon Apr 20 00:18:47 +0000 2020, -88.763231, 44.617544, How crazy would it be if this were true lol 
sauer_luke, Mon Apr 20 00:18:47 +0000 2020, -122.443131, 37.647138, Getting my free bday meal @ Chevy's https://t.co/U1yh6pnDcc 
j_myers015, Mon Apr 20 00:18:47 +0000 2020, -78.965541, 39.062539, Playing UNO is my new favorite pass time 
tchernychkov, Mon Apr 20 00:18:47 +0000 2020, -79.428376, 43.903509, Люди, Воскресный вечер с Соловьёвым сегодня смотреть?🤔 
aReal_mfTHUGG, Mon Apr 20 00:18:47 +0000 2020, -83.099288, 42.352787, somebody come get clair out my dms .. RIGHT NOW ! 
markymark39, Mon Apr 20 00:18:47 +0000 2020, -81.411805, 41.655578, I’ve been watching @chefsymon #SymonsSuppers on his Facebook page every day and he did Chicken Paprikash with homem… https://t.co/KVKmEvdb2z 
BradFieldWx, Mon Apr 20 00:18:47 +0000 2020, -72.757385, 41.500753, @BriansHotRead Oh great! 
GirlthatsDorsey, Mon Apr 20 00:18:47 +0000 2020, -92.153018, 32.526733, @tangerinequeeen @dukcalla 
Litzyy04, Mon Apr 20 00:18:47 +0000 2020, -83.099288, 42.352787, me this whole quarantine 😌 
terronk, Mon Apr 20 00:18:47 +0000 2020, -122.435979, 37.770657, @DelJohnsonVC I literally don’t know who you’re arguing with now. 
LindsayDawnStar, Mon Apr 20 00:18:47 +0000 2020, -84.175549, 39.719631, @EmilyLHolliday Me too!! I just got a suet feeder and blocks this weekend too, at least my sister can use them. 
9misslou, Mon Apr 20 00:18:47 +0000 2020, -75.117998, 40.004866, I want a DC fitted 
kkboard, Mon Apr 20 00:18:47 +0000 2020, -81.693700, 41.499600, Waiting on your orders. Call or text 440.514.8302 Monday thru Saturday from 10a to 3pm. You can pick or have your t… https://t.co/phqKQWvIH9 
ihatesheeple73, Mon Apr 20 00:18:47 +0000 2020, -81.987075, 27.956652, @CBSNews He was "liberating" texas no doubt. RiP officer 
EscabarJones, Mon Apr 20 00:18:47 +0000 2020, -96.761753, 32.819858, Sheesh 
kamarisangel, Mon Apr 20 00:18:47 +0000 2020, -95.326899, 29.547885, shitt b givin me hell 
AzadTfup, Mon Apr 20 00:18:47 +0000 2020, -77.230881, 38.916761, @TSM_Commandment @Safarooniee @zayt Hey unfortunate for u u got it next event 
JPgotSOLE, Mon Apr 20 00:18:47 +0000 2020, -72.662770, 41.699325, @CeeBoogie Man I just organized my kicks, this was harder than tryna decide on a fit for Aug T show in 03 smfh. 
thesirmyk, Mon Apr 20 00:18:47 +0000 2020, -87.920083, 41.172804, About to give this a shot https://t.co/xbfxbQIrxD 
berthyman, Mon Apr 20 00:18:48 +0000 2020, -93.105649, 44.941516, @fakeaarontweets @Communism_Kills @AriCohn Sure. 
TylerCuffman, Mon Apr 20 00:18:48 +0000 2020, -81.396800, 40.967247, https://t.co/QKV56qpn7z 
TLHT__, Mon Apr 20 00:18:48 +0000 2020, -97.747500, 30.267700, How I’m walking in to that next show back from quarantine.•🥀#TLHT #Intocable #quarantineandchill #GCW @ Austin, T… https://t.co/D7CWktCwzy 
rustyaiu, Mon Apr 20 00:18:48 +0000 2020, -156.475942, 20.874924, Same... 
_xoalexandria, Mon Apr 20 00:18:48 +0000 2020, -76.593943, 24.074967, smt im annoyed 
Jesse_Conrad, Mon Apr 20 00:18:48 +0000 2020, -77.604684, 41.117936, https://t.co/MrH6S41Kz9 
steadystaccn, Mon Apr 20 00:18:48 +0000 2020, -118.411907, 34.020789, AKA ♉️ MOTION SZN 🌎🌪⚡️ 
sheriheather_xo, Mon Apr 20 00:18:48 +0000 2020, -119.782465, 36.786042, Grades will be given from the time our children left school... yet Teachers want kids to do all this work that isn’t graded... #BitchBye 
Dzeug, Mon Apr 20 00:18:48 +0000 2020, -93.258894, 45.080225, Apple TV is ridiculous! What a joke!! 
lunaraptor, Mon Apr 20 00:18:48 +0000 2020, -111.082929, 45.687850, @WhiteVault Cool thank you!! 
Joseph89999971, Mon Apr 20 00:18:48 +0000 2020, -117.462698, 34.108160, got another half oz of master bubba kush reserve shelf have a oz &amp; a half of this 10g of kosher kush exclusive shel… https://t.co/oWiExCq8mZ 
PoplarCA, Mon Apr 20 00:18:48 +0000 2020, -118.965600, 36.031800, Poplar CA Sun Apr 19th PM Forecast: TONIGHT Chance Of Showers Lo 51 WEDNESDAY Mostly Cloudy Hi 72 
TruckerGalJen, Mon Apr 20 00:18:48 +0000 2020, -75.082519, 40.655339, https://t.co/pJOqV1bq7o 
TheyHateNoel, Mon Apr 20 00:18:48 +0000 2020, -96.690937, 32.964484, @Ebony_QT https://t.co/5j5oG15SLR 
KalEl02931697, Mon Apr 20 00:18:48 +0000 2020, -100.270474, 25.736715, Oye, ya vamos a entrar en la Fase 3, cuidate... https://t.co/jlIvuDN4fD 
Rozy_62401, Mon Apr 20 00:18:48 +0000 2020, -73.849441, 40.850347, people be so envious upon others. Worry about yourself hun 
MattBurgner1, Mon Apr 20 00:18:48 +0000 2020, -73.510800, 41.058900, EQ juice - Drinking a Half Full by @eqbrewery @ WWE Headquarters  — https://t.co/OS429fNUtM 
RickyReyes01, Mon Apr 20 00:18:48 +0000 2020, -75.409021, 40.159928, AWESOMENESS 
jreinart10, Mon Apr 20 00:18:48 +0000 2020, -98.716992, 35.309047, @jlenherr9 Man that’s awesome! I had the same one! 
RealBubszilla, Mon Apr 20 00:18:49 +0000 2020, -86.142922, 39.779562, @animesvns Desert Punk 
MandoCF, Mon Apr 20 00:18:49 +0000 2020, -74.158130, 40.859832, Es que sabemos cuales son si y cuales no  RT @ramon_arias: Ya ustedes no se toman fotos con un solo AirPod 
bjstone_3, Mon Apr 20 00:18:49 +0000 2020, -86.270540, 45.001180, There is another virus spreading in America that, while just as invisible as the coronavirus, is also much more det… https://t.co/cFLi0rIxle 
lylkeaa, Mon Apr 20 00:18:49 +0000 2020, -84.207404, 33.940731, he’s a 2.1 billionaire g. i gotta meet this man 
DellXXII, Mon Apr 20 00:18:49 +0000 2020, -83.099288, 42.352787, Sick everybody in America about to be watching the documentary tonight like it’s the finals 
fuckingoscarr, Mon Apr 20 00:18:49 +0000 2020, -88.142512, 41.519556, my selfie game weak yo 
lovejadah_, Mon Apr 20 00:18:49 +0000 2020, -96.785531, 32.604786, my ex is a bad boy 
JoshyBoy_XO, Mon Apr 20 00:18:49 +0000 2020, -87.652168, 41.946866, @exfratbro 😈 let’s film you railing me 
carlylunsetter, Mon Apr 20 00:18:49 +0000 2020, -96.171719, 48.115635, Of all the reasons I could cry today this one was really unanticipated. 
GlobalMediaBuzz, Mon Apr 20 00:18:49 +0000 2020, -73.968542, 40.780709, I didn’t think it was possible to love our nurses, doctors and all hospital workers more than I already do but this… https://t.co/rJIQFaraHu 
samlikespizza93, Mon Apr 20 00:18:49 +0000 2020, -121.375689, 38.604033, @kristen_counts Her and her bf posted some really racist video on tik-tok and is trying to say it was just her bf 
notanothergee, Mon Apr 20 00:18:49 +0000 2020, -71.683502, 42.036939, Y’all are bored huh 
hmkerstetter, Mon Apr 20 00:18:49 +0000 2020, -75.117998, 40.004866, @derogatorymatt Thank you!!! I’m so ready. 
KeesSweat, Mon Apr 20 00:18:49 +0000 2020, -90.247824, 38.653771, This some country shit 
sleepriella, Mon Apr 20 00:18:49 +0000 2020, -95.446486, 29.838495, Lol my phone was like bitch put that filter away https://t.co/holRfK4qwn 
Narda1, Mon Apr 20 00:18:50 +0000 2020, -118.918886, 34.188478, https://t.co/Q0DlnMELHt 
AnDREW_XPE, Mon Apr 20 00:18:50 +0000 2020, -80.093180, 26.456148, @bobbystroupe I mean it couldn’t be any more obvious. Had the most insecure tone that game when talking about Pat. 
stumpfamily23, Mon Apr 20 00:18:50 +0000 2020, -89.876449, 32.571032, https://t.co/Viv97K5GH4 
g00dthinking, Mon Apr 20 00:18:50 +0000 2020, -93.362067, 45.036056, Watching the #1991worldseries and the fact that Braves fans still do the #tomahawkchop in 2020 is unsettling. 
sim54gar, Mon Apr 20 00:18:50 +0000 2020, -106.702208, 35.196113, Probably will after SuperFoles wins mvp 
thebeigepanther, Mon Apr 20 00:18:50 +0000 2020, -82.746962, 36.523465, I love the south 😂😂😂 
colbad2, Mon Apr 20 00:18:50 +0000 2020, -72.562691, 42.860363, @corvidresearch One and a half Time Lords. 
RossiSongo, Mon Apr 20 00:18:50 +0000 2020, -73.968542, 40.780709, @LIBGyal Either it’s a scam or we’re the same person https://t.co/LeY4FqyZeI 
_immAriel, Mon Apr 20 00:18:50 +0000 2020, -91.090800, 30.459100, this work shit really starting to stress me fr 
loryyyy31, Mon Apr 20 00:18:50 +0000 2020, -83.804475, 27.698682, Run it iMessage games ? 
juanjgonMD, Mon Apr 20 00:18:50 +0000 2020, -83.729972, 42.270839, @javiervg0902 @_aoats 2. Exposure to vocabulary variations. (This can be accomplished ideally by conversations with… https://t.co/X31hWUgEJl 
Thinkerr21, Mon Apr 20 00:18:50 +0000 2020, -75.770041, 42.746617, @resyesther23 Pa fè chyet 😂😂😂 
tiffanymchao, Mon Apr 20 00:18:50 +0000 2020, -73.948775, 40.655138, @GabiTalisman Can’t believe the finale 😅 
__yazzy_yaz, Mon Apr 20 00:18:50 +0000 2020, -81.705467, 41.495940, 😂😂😂😂😂😂😂 
walewest95, Mon Apr 20 00:18:51 +0000 2020, -79.272570, 43.629311, 💯 Factz 
Hollywo52637304, Mon Apr 20 00:18:51 +0000 2020, -100.076888, 31.168893, @MarcussGun Straight up 
estoyconbukele, Mon Apr 20 00:18:51 +0000 2020, -79.420865, 38.003376, @nayibbukele SI @nayibbukele ESTA GENTE CHELE CUANDO ESTÉN AGONIZANDO DIRÁN PORQUE NO HICE CASO AL CHELE… https://t.co/A20iDg11he 
shesCCLORRAINE, Mon Apr 20 00:18:51 +0000 2020, -118.411907, 34.020789, I miss Tumblr. It’s been 4 years. Is it still 🔥? 
xmoriartea, Mon Apr 20 00:18:51 +0000 2020, -73.225773, 44.492599, I have a very specific tattoo I've wanted for a very long time and have been Concerned about actually getting someo… https://t.co/oqwNNp4NAF 
thejudahite, Mon Apr 20 00:18:51 +0000 2020, -80.000000, 35.500000, Yes the Bible prophesied that false images would be setup. The question is do You worship #theImageofTheBeast? - 1… https://t.co/mKDimBdtJJ 
PeytonTresor, Mon Apr 20 00:18:51 +0000 2020, -97.754724, 30.323346, @spookysucks this IS the look 
MelvilleAlicia, Mon Apr 20 00:18:51 +0000 2020, -116.929102, 32.332876, @joejonas Ford v Ferrari thats a good one! https://t.co/I9BKrt83Gn 
cookstermpls, Mon Apr 20 00:18:51 +0000 2020, -93.262046, 44.970610, @IssaMeBrianO Thank you B. 
auntyrieme, Mon Apr 20 00:18:51 +0000 2020, -122.296281, 47.119286, @goodkidatheart Ahh appreciate it so much♥️ thank you sir! 
notoriousdgk, Mon Apr 20 00:18:51 +0000 2020, -117.851089, 33.842863, Craving THRIFTY rainbow or pineapple ice cream 🤤 
_katieeee5, Mon Apr 20 00:18:51 +0000 2020, -87.732013, 41.833585, i wanted chick fil a &amp; I forgot its sunday 😔😔 
ESiannodel, Mon Apr 20 00:18:51 +0000 2020, -93.369494, 44.949067, @DanteVampSlayer @billy_boffin (Okay, yeah... first we were going to order pizza, but then we didn’t. Sundays get k… https://t.co/bWfsBXwr5s 
slomotion4199, Mon Apr 20 00:18:51 +0000 2020, -94.628608, 38.915593, @cottonarchist UmmI didn't tell you what it was yetAre you really sure? 
ArtooDbot, Mon Apr 20 00:18:51 +0000 2020, -96.398038, 34.014712, @nynnettg Same 
KennyKruger1, Mon Apr 20 00:18:51 +0000 2020, -82.669467, 40.365160, @Dat1kiddkarkar 👍🙏 
laine_sheets, Mon Apr 20 00:18:51 +0000 2020, -86.270540, 45.001180, You know you are rednecks when your cousins are jumping from the roof onto the trampoline. The things we come up wi… https://t.co/IpYtwHOWe0 
cleats56, Mon Apr 20 00:18:51 +0000 2020, -84.114022, 40.752455, @TheTrut86152786 Hello everyone out in Twitter land! This is a BOT. TIME TO BLOCK !! 
sidewalkmuse, Mon Apr 20 00:18:51 +0000 2020, -84.433106, 33.767195, Bazinga 
rachelcrruz, Mon Apr 20 00:18:51 +0000 2020, -83.173867, 32.678207, Y’all is dating and being in a relationship different?? 
jasonoliver, Mon Apr 20 00:18:51 +0000 2020, -117.998733, 33.692542, @peterpham @rockerbrosmeat Just discovered this weekend from @biggiesu , Luxe Seafood launched home delivery for LA… https://t.co/IQVauaOwhw 
alyson_mariee, Mon Apr 20 00:18:51 +0000 2020, -87.271837, 39.488308, 🪐 https://t.co/LT45ekStFt 
alexbond3, Mon Apr 20 00:18:51 +0000 2020, -122.435979, 37.770657, #BarryHBO is great! enjoyed season 1 
M_Smithville, Mon Apr 20 00:18:51 +0000 2020, -83.749258, 32.646036, @sportsguymarv https://t.co/Pwv4g03WkG 
NatashaLe_, Mon Apr 20 00:18:51 +0000 2020, -83.999204, 33.950635, 😞 https://t.co/bHpdjVoZ8U 
KuquisssSoria, Mon Apr 20 00:18:52 +0000 2020, -100.293591, 25.641718, Wey, pinche DJ malo ¿Porque las corta? #MusicLivesCYP 
buhakmeh, Mon Apr 20 00:18:52 +0000 2020, -76.876378, 40.229927, @shahedC @daveabrock @isaacrlevin Take two and call me in the morning. 
TommiWaring, Mon Apr 20 00:18:52 +0000 2020, -73.984562, 41.150000, I get anxiety for Jonah in ozark...smh mans just trying to study vultures jeez 
janeeteev, Mon Apr 20 00:18:52 +0000 2020, -86.791549, 36.200008, You see that counter space??? Chileeeee let me get a husband it’s OVER 
S3RG7, Mon Apr 20 00:18:52 +0000 2020, -112.124676, 33.552863, @msbriannad I got you 
SpringRunSTEAM, Mon Apr 20 00:18:52 +0000 2020, -79.420865, 38.003376, A1 biggest challenge is creating paper packets every Monday with only my AP and worrying too much about how not bei… https://t.co/tBpxczim2a 
navhazard88, Mon Apr 20 00:18:52 +0000 2020, -122.655794, 47.493944, @yankees_nut They make any frozen to send to the pizza poor😬😬😂 
jajehmontana, Mon Apr 20 00:18:52 +0000 2020, -121.959895, 38.035184, @creoul Someone recommended it to me! I hear it’s really good 
DaNajeTwaa, Mon Apr 20 00:18:52 +0000 2020, -81.520478, 41.588460, @SexySyd_ !!!! Off the clock though 😭🤟🏽 https://t.co/G6IFa6JDDk 
phoenix_dinae, Mon Apr 20 00:18:52 +0000 2020, -77.604684, 41.117936, Need a boo to make content with 🥺 
Heather_at_ACTS, Mon Apr 20 00:18:52 +0000 2020, -86.244729, 32.364145, @maz_jovanovich Yes, definitely in need of parenting patience juice 😁 
GonzoMarc, Mon Apr 20 00:18:52 +0000 2020, -122.435979, 37.770657, I can’t stand liars &amp; this particular person I’m supposed to feel bad for bc they can’t help it lol 
ms_hansen, Mon Apr 20 00:18:52 +0000 2020, -91.084775, 41.418591, A3: We’re on hold right now, but we’re aiming to team up with biology teachers to do an extended #BioBlitz at a new… https://t.co/1ZfqRyPI94 
petcityhouston, Mon Apr 20 00:18:52 +0000 2020, -95.432903, 30.019039, 🧻🐶Have you tried the toilet paper dog challenge with your doggie? If so we want to see it! How many rolls can they… https://t.co/WstOYpzLPa 
ApreyesWeb, Mon Apr 20 00:18:52 +0000 2020, -100.076888, 31.168893, San Diego that Norwegian isn't it‽‽‽ 
viva_la_De, Mon Apr 20 00:18:52 +0000 2020, -84.266174, 30.476216, Wtf spook 
t3rr3z, Mon Apr 20 00:18:52 +0000 2020, -83.654079, 32.848817, Yes Tyler Perry studios #RHOA 
miche11e_palmer, Mon Apr 20 00:18:52 +0000 2020, -74.934345, 39.790061, Mike and I just watched 3 hours worth of TikTok videos 🤪 
Only_Peaches, Mon Apr 20 00:18:53 +0000 2020, -82.567008, 35.539073, @itsnotmeericc i wiz da ferrrrst liyyyke 👏💕🤩 
JeffCottrellRN, Mon Apr 20 00:18:53 +0000 2020, -73.972216, 40.772743, Great time riding with my beautiful bride @howaboutval around Central Park! Good seeing a ton of folks out riding t… https://t.co/ZATCabtzNa 
